BUSINESS_ID,USER_ID,BUSINESS_NAME,ADDRESS,LATITUDE,LONGITUDE,PROFILE_DESCRIPTION
46,83,Gator Gifts,"353 Main St, Gainesville, FL",29.65121,-82.3267,Perfect gifts for every occasion.
47,22,Swamp Gifts,"945 Maple Ave, Gainesville, FL",29.68158,-82.2813,Unique gifts for every Gator fan.
48,79,Gator Goods,"334 Maple Ave, Gainesville, FL",29.60424,-82.3366,Goodies that make you happy.
49,53,Swamp Goods,"957 Main St, Gainesville, FL",29.6329,-82.3019,Quality goods for everyone.
50,34,Gator Bazaar,"192 Broadway, Gainesville, FL",29.66997,-82.3455,Unique finds in our bazaar.
51,55,Tech Bazaar,"622 Maple Ave, Gainesville, FL",29.66776,-82.3097,A tech bazaar with the latest gadgets.
52,44,Swamp Bazaar,"587 Maple Ave, Gainesville, FL",29.68708,-82.3322,Unique finds from the swamp.
53,76,Gator Mart,"490 Oak St, Gainesville, FL",29.65329,-82.3251,Convenient shopping for everyone.
54,48,Swamp Mart,"965 Oak St, Gainesville, FL",29.6529,-82.3726,A market with everything you need.
55,70,Gator Essentials,"838 Maple Ave, Gainesville, FL",29.70006,-82.3345,Essentials for every Gator fan.
56,8,Swamp Essentials,"128 Broadway, Gainesville, FL",29.68562,-82.3672,Valuable finds for everyone.
57,60,Gator Finds,"283 Maple Ave, Gainesville, FL",29.63646,-82.31,Great deals on unique items.
58,46,Swamp Finds,"284 Elm St, Gainesville, FL",29.69344,-82.3333,Discounts that make you smile.
59,67,Gator Market,"233 Oak St, Gainesville, FL",29.63761,-82.3641,Value-packed finds for everyone.
60,23,Swamp Market,"390 Oak St, Gainesville, FL",29.69136,-82.3501,Tasty treats that make you smile.
61,17,Gator Deals,"523 Main St, Gainesville, FL",29.64624,-82.3526,Delicious flavors for everyone.
62,26,Swamp Deals,"517 Elm St, Gainesville, FL",29.66738,-82.335,Feast on our delicious meals.
63,54,Gator Perks,"515 Main St, Gainesville, FL",29.60389,-82.3455,Munch on our healthy bites.
64,68,Swamp Perks,"488 Broadway, Gainesville, FL",29.65886,-82.3246,Grub that's good for you.
65,44,Gator Discount,"880 Oak St, Gainesville, FL",29.6782,-82.3239,Chow down on delicious meals.
66,34,Swamp Discount,"150 Maple Ave, Gainesville, FL",29.68938,-82.3652,Dine in style with our gourmet options.
67,6,Gator Value,"316 Oak St, Gainesville, FL",29.68126,-82.2761,Gourmet meals for every palate.
68,33,Swamp Value,"454 Elm St, Gainesville, FL",29.68682,-82.3723,Chef-inspired dishes for everyone.
69,13,Gator Treats,"256 Oak St, Gainesville, FL",29.60209,-82.303,Meals that satisfy your cravings.
70,37,Swamp Treats,"107 Maple Ave, Gainesville, FL",29.61208,-82.3082,Bite into our delicious meals.
71,56,Gator Taste,"183 Elm St, Gainesville, FL",29.69946,-82.3337,Plates full of delicious food.
72,45,Swamp Taste,"755 Maple Ave, Gainesville, FL",29.619,-82.3034,Dishes that make you happy.
73,69,Gator Feast,"398 Oak St, Gainesville, FL",29.60715,-82.3676,Recipes that delight your taste buds.
74,40,Swamp Feast,"730 Oak St, Gainesville, FL",29.69933,-82.3355,A kitchen full of delicious food.
75,4,Gator Munch,"634 Main St, Gainesville, FL",29.68019,-82.3188,Cuisine that makes you smile.
76,7,Swamp Munch,"475 Broadway, Gainesville, FL",29.67415,-82.289,Enjoy swamp-inspired munchies that tantalize your taste buds.
77,40,Gator Grub,"851 Main St, Gainesville, FL",29.61761,-82.3302,Delicious grub that's perfect for any Gator fan.
78,30,Swamp Grub,"165 Main St, Gainesville, FL",29.61774,-82.301,Authentic swampy grub with a unique twist.
79,27,Gator Chow,"321 Broadway, Gainesville, FL",29.67827,-82.3421,Hearty meals that satisfy your hunger.
80,17,Swamp Chow,"423 Maple Ave, Gainesville, FL",29.70038,-82.2961,Swamp-themed dishes that bring the taste of the wild.
81,45,Gator Dine,"833 Main St, Gainesville, FL",29.65211,-82.3509,Dining experiences that celebrate Gator spirit.
82,71,Swamp Dine,"504 Main St, Gainesville, FL",29.68192,-82.3247,Dine in style with a swampy flair.
83,75,Gator Cuisine,"549 Main St, Gainesville, FL",29.65836,-82.3208,Gourmet Gator cuisine for the discerning palate.
84,21,Swamp Cuisine,"794 Main St, Gainesville, FL",29.66103,-82.3502,Exquisite cuisine inspired by the swamp.
85,67,Gator Gourmet,"479 Elm St, Gainesville, FL",29.62285,-82.3592,Gourmet meals that delight your taste buds.
86,93,Swamp Gourmet,"932 Oak St, Gainesville, FL",29.61065,-82.2924,Gourmet dishes with a swampy touch.
87,17,Gator Chef,"771 Broadway, Gainesville, FL",29.66158,-82.289,Chef-inspired meals for Gator lovers.
88,54,Swamp Chef,"557 Maple Ave, Gainesville, FL",29.6353,-82.3662,Chef's specials with a swamp twist.
89,79,Gator Meals,"333 Oak St, Gainesville, FL",29.69474,-82.3233,Delicious meals prepared with Gator pride.
90,77,Swamp Meals,"123 Oak St, Gainesville, FL",29.66199,-82.2944,Hearty meals inspired by the swamp.
91,5,Gator Bite,"251 Maple Ave, Gainesville, FL",29.64629,-82.3334,Tasty bites that are full of Gator flavor.
92,57,Swamp Bite,"910 Maple Ave, Gainesville, FL",29.64838,-82.29,Bites that capture the essence of the swamp.
93,35,Gator Plate,"407 Broadway, Gainesville, FL",29.61239,-82.3585,Plates filled with Gator goodness.
94,95,Swamp Plate,"460 Maple Ave, Gainesville, FL",29.63201,-82.3675,Plates that bring the swamp to your table.
95,54,Gator Dish,"829 Broadway, Gainesville, FL",29.60818,-82.3748,Dishes that are perfect for any Gator fan.
96,63,Swamp Dish,"488 Elm St, Gainesville, FL",29.67537,-82.277,Swamp-inspired dishes for adventurous eaters.
97,3,Gator Recipe,"639 Main St, Gainesville, FL",29.67447,-82.2854,Recipes that showcase Gator culinary excellence.
98,78,Swamp Recipe,"215 Elm St, Gainesville, FL",29.68422,-82.3056,Unique recipes inspired by the swamp.
99,9,Gator Kitchen,"668 Broadway, Gainesville, FL",29.68931,-82.3048,A kitchen dedicated to Gator culinary delights.
100,32,Swamp Kitchen,"135 Broadway, Gainesville, FL",29.65001,-82.2765,A kitchen that brings the swamp to your home.
